"","OFNS_DESC","count"
"1","dangerous drugs",1048869
"2","assault 3 & related offenses",456181
"3","other offenses related to theft",301991
"4","other state laws",238207
"5","criminal trespass",194738
"6","petit larceny",186423
"7","vehicle and traffic laws",182503
"8","dangerous weapons",181661
"9","felony assault",180143
"10","other traffic infraction",168335
"11","possession of stolen property",164224
"12","miscellaneous penal law",163047
"13","offenses against public administration",155139
"14","criminal mischief & related offenses",146664
"15","robbery",143417
"16","grand larceny",108538
"17","intoxicated & impaired driving",103045
"18","other state laws (non penal law)",81246
"19","forgery",76454
"20","off. agnst pub ord sensblty &",71612
"21","burglary",67935
"22","prostitution & related offenses",45013
"23","sex crimes",30745
"24","disorderly conduct",29695
"25","offenses involving fraud",24577
"26","offenses against the person",21590
"27","frauds",18536
"28","grand larceny of motor vehicle",14075
"29","administrative code",13539
"30","harassment",12884
"31","gambling",12640
"32","murder & non-negl. manslaughter",12192
"33","unauthorized use of a vehicle 3 (uuv)",11148
"34","rape",10912
"35","forcible touching",9981
"36","theft-fraud",8652
"37","moving infractions",8017
"38","alcoholic beverage control law",4868
"39","offenses related to children",2364
"40","fraudulent accosting",2130
"41","offenses against public safety",1955
"42","kidnapping & related offenses",1918
"43","arson",1652
"44","loitering",717
"45","anticipatory offenses",669
"46","loitering for drug purposes",574
"47","loitering/gambling (cards, dice, etc)",566
"48","child abandonment/non support",518
"49","new york city health code",499
"50","jostling",426
"51","endan welfare incomp",317
"52","escape 3",271
"53","homicide-negligent",262
"54","nys laws-unclassified felony",213
"55","parking offenses",154
"56","unlawful poss. weap. on school grounds",63
"57","disruption of a religious service",56
"58","fortune telling",12
"59","under the influence, drugs",11
"60","abortion",10
"61","f.c.a. p.i.n.o.s.",10
"62","loitering,begging",1
"63","offenses against marriage unclassified",1
